+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |       NEW |     READY |
|                 0 |  6 |     READY |   RUNNING |
|                 2 |  6 |   RUNNING |   WAITING |
|                 2 |  6 |     READY |   RUNNING |
|                 3 |  6 |   WAITING |     READY |
|                 4 |  6 |   RUNNING |   WAITING |
|                 4 |  6 |     READY |   RUNNING |
|                 5 |  6 |   WAITING |     READY |
|                 6 |  6 |   RUNNING |   WAITING |
|                 6 |  6 |     READY |   RUNNING |
|                 7 |  6 |   WAITING |     READY |
|                 8 |  6 |   RUNNING |   WAITING |
|                 8 |  6 |     READY |   RUNNING |
|                 9 |  6 |   WAITING |     READY |
|                10 |  6 |   RUNNING |   WAITING |
|                10 |  6 |     READY |   RUNNING |
|                11 |  6 |   WAITING |     READY |
|                12 |  6 |   RUNNING |   WAITING |
|                12 |  6 |     READY |   RUNNING |
|                13 |  6 |   WAITING |     READY |
|                14 |  6 |   RUNNING |   WAITING |
|                14 |  6 |     READY |   RUNNING |
|                15 |  6 |   WAITING |     READY |
|                16 |  6 |   RUNNING |   WAITING |
|                16 |  6 |     READY |   RUNNING |
|                17 |  6 |   WAITING |     READY |
|                18 |  6 |   RUNNING |   WAITING |
|                18 |  6 |     READY |   RUNNING |
|                19 |  6 |   WAITING |     READY |
|                20 |  6 |   RUNNING |   WAITING |
|                20 |  6 |     READY |   RUNNING |
|                21 |  6 |   WAITING |     READY |
|                22 |  6 |   RUNNING |   WAITING |
|                22 |  6 |     READY |   RUNNING |
|                23 |  6 |   WAITING |     READY |
|                24 |  6 |   RUNNING |   WAITING |
|                24 |  6 |     READY |   RUNNING |
|                25 |  6 |   WAITING |     READY |
|                26 |  6 |   RUNNING |TERMINATED |
+------------------------------------------------+
